,id,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
85,4OpfAngpSybDsNk7TTaO1B,https://api.spotify.com/v1/audio-analysis/4OpfAngpSybDsNk7TTaO1B,0.611,0.0705,10,-22.523,1,0.0446,0.962,0.94,0.103,0.156,118.028,212364,4,1
86,6AianoPQwgFLarNY5s3ntc,https://api.spotify.com/v1/audio-analysis/6AianoPQwgFLarNY5s3ntc,0.383,0.109,7,-14.455,0,0.0372,0.981,0.372,0.0998,0.212,79.88,245242,3,2
87,0w905sAFNxZ4E7M5aEc8YI,https://api.spotify.com/v1/audio-analysis/0w905sAFNxZ4E7M5aEc8YI,0.532,0.16,0,-15.639,0,0.0325,0.932,0.886,0.141,0.0725,100.513,225601,4,1
88,3JtvojpnCGBLdalXoPpw4l,https://api.spotify.com/v1/audio-analysis/3JtvojpnCGBLdalXoPpw4l,0.455,0.26,0,-14.579,0,0.0385,0.973,0.946,0.26,0.204,126.156,194229,4,1
89,3cOtGzGlzFl6qc8WFWfKhO,https://api.spotify.com/v1/audio-analysis/3cOtGzGlzFl6qc8WFWfKhO,0.518,0.147,10,-16.54,1,0.038,0.954,0.976,0.123,0.161,110.696,168882,4,1
90,4jZOeSzfXYIBJszABDdba0,https://api.spotify.com/v1/audio-analysis/4jZOeSzfXYIBJszABDdba0,0.587,0.127,0,-19.523,0,0.0375,0.952,0.864,0.103,0.19,109.944,190909,4,1
91,4jl1mBMyPdpDh0mYadTZhR,https://api.spotify.com/v1/audio-analysis/4jl1mBMyPdpDh0mYadTZhR,0.418,0.167,0,-15.405,0,0.0328,0.966,0.563,0.0822,0.146,112.587,238078,4,1
92,0IQ6jc6zO9ffRqcNoiL1Di,https://api.spotify.com/v1/audio-analysis/0IQ6jc6zO9ffRqcNoiL1Di,0.393,0.127,7,-15.086,0,0.0301,0.959,0.381,0.149,0.155,103.506,252218,4,1
93,2zI4BotlVn6HNOmCv3Nf75,https://api.spotify.com/v1/audio-analysis/2zI4BotlVn6HNOmCv3Nf75,0.421,0.192,7,-13.145,0,0.034,0.933,0.779,0.366,0.118,110.384,194250,4,1
94,2vLmNEKsbw9sjl7PFzmar3,https://api.spotify.com/v1/audio-analysis/2vLmNEKsbw9sjl7PFzmar3,0.48,0.122,10,-17.03,0,0.0412,0.977,0.472,0.107,0.166,101.985,228629,4,1
95,7AGPS3yD3CJR3xrPBTLhcO,https://api.spotify.com/v1/audio-analysis/7AGPS3yD3CJR3xrPBTLhcO,0.377,0.179,0,-17.152,0,0.0349,0.932,0.621,0.207,0.1,50.433,171006,3,2
96,7r5XG6Ko5PsiSext5v0vyO,https://api.spotify.com/v1/audio-analysis/7r5XG6Ko5PsiSext5v0vyO,0.425,0.219,5,-14.817,1,0.0397,0.981,0.972,0.202,0.229,123.47,232510,4,1
97,3Xuy3E7OQ12IISyO4cm1lA,https://api.spotify.com/v1/audio-analysis/3Xuy3E7OQ12IISyO4cm1lA,0.47,0.199,0,-17.547,1,0.0472,0.897,0.918,0.0902,0.2,109.685,180319,4,1
98,5PQXmu4gJHZDY5ORO4xoc8,https://api.spotify.com/v1/audio-analysis/5PQXmu4gJHZDY5ORO4xoc8,0.471,0.166,4,-15.344,0,0.0339,0.858,0.885,0.121,0.0873,63.51,174575,4,1
