,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
323,260.59,2.0,1,0,10,98.0,1,3.84,0.47,22.260181559711185,21.30232920786587,0,1,0,0
324,484.49,2.0,0,0,10,100.0,1,4.57,0.33,19.784374172476745,12.247319945061404,0,0,0,0
325,543.99,4.0,0,1,10,100.0,2,4.94,0.71,17.971235246346655,9.885878135850978,0,0,1,0
326,186.74,2.0,0,1,8,78.0,1,3.66,0.33,23.60348486602145,14.127181133447394,0,1,0,0
327,285.05,2.0,0,0,10,100.0,1,3.74,0.94,20.65726182786515,11.477074544187376,0,1,0,0
328,360.31,3.0,0,1,10,100.0,1,3.77,0.42,23.45685762057942,13.65592564011163,0,0,0,0
329,155.7,2.0,0,0,10,100.0,1,8.04,1.17,10.324230378272668,6.027319532384452,0,1,1,0
330,154.28,2.0,0,0,10,99.0,1,4.57,1.2,16.516158651319493,8.913967970025395,0,1,0,0
331,297.98,2.0,0,0,9,93.0,1,3.81,0.45,22.764087660206688,13.448514603525055,0,1,0,0
332,285.05,2.0,0,0,9,100.0,1,3.07,0.63,25.07125563992338,14.69783562107127,0,0,0,0
333,168.4,2.0,0,0,10,100.0,1,2.5,0.36,28.360275818841743,12.633275110241293,0,1,0,0
334,211.2,2.0,0,1,10,91.0,1,0.65,0.3,57.69136459306521,52.49871474292949,0,1,0,0
335,121.83,2.0,1,0,9,98.0,1,4.55,1.24,17.776263674765655,10.35807308751147,0,1,0,0
336,297.75,2.0,0,1,10,82.0,1,3.68,0.84,20.363236651023215,11.633947584632304,0,0,0,0
337,956.04,6.0,0,1,9,68.0,3,4.54,1.19,19.002265832544268,10.75587078096353,0,0,0,0
338,1137.37,4.0,0,1,10,93.0,2,4.3,0.39,20.22095300980985,13.299279059357804,0,0,0,0
339,246.01,2.0,1,0,10,95.0,1,3.2,1.27,23.188673420849916,11.373340743953715,0,1,1,0
340,154.05,2.0,0,1,7,82.0,1,3.72,0.37,23.118590685907325,13.787822062019728,0,1,0,0
341,163.22,2.0,0,1,9,88.0,1,3.7,0.35,23.503288231779838,13.850995597537008,0,1,0,0
342,391.12,2.0,0,0,10,98.0,1,3.79,1.73,19.880043311789144,10.062866237248231,0,0,0,0
343,131.0,2.0,1,0,10,100.0,1,8.26,4.15,9.752475990487786,5.045664794635536,0,1,1,0
344,181.33,2.0,0,1,9,84.0,1,3.84,1.41,22.15934680118064,10.109458493138588,0,0,0,0
345,322.68,4.0,0,0,9,93.0,1,5.95,1.87,13.341008810917923,7.627811447647241,0,0,0,0
346,132.18,4.0,0,1,8,81.0,1,5.28,0.15,16.866690357753356,10.040207361190433,0,1,0,0
347,427.57,4.0,0,1,9,89.0,2,3.93,0.59,19.21676185775471,10.92583367573658,0,0,0,0
348,466.38,3.0,1,0,8,75.0,0,4.23,0.11,21.07410020097773,15.29173691252664,0,0,0,0
349,427.57,4.0,0,1,9,91.0,2,3.92,0.58,19.30333873059992,10.929880649007616,0,0,0,0
350,459.79,4.0,0,1,10,80.0,2,3.48,0.16,24.48531362221222,14.876569051747174,0,0,0,0
351,408.05,5.0,1,0,7,75.0,2,3.53,0.11,24.3026277784849,14.86801300636774,0,0,0,0
352,225.31,2.0,0,0,9,85.0,1,2.03,0.33,35.03970925755417,15.595071190197604,0,1,0,0
353,194.27,2.0,0,0,10,100.0,1,4.91,0.89,17.555248892272864,9.72479532552269,0,1,0,0
354,112.89,2.0,0,0,10,100.0,1,6.01,2.79,13.668930875425284,6.789792258814581,0,1,0,0
355,121.83,2.0,1,0,10,100.0,1,7.1,1.71,11.10786575124463,6.408094761788615,0,1,0,0
356,194.5,4.0,0,1,10,100.0,1,1.52,0.31,43.63368272247459,18.30360312369628,0,1,1,0
357,997.44,6.0,0,1,10,100.0,2,4.18,0.33,20.76062385460596,13.014233076412296,0,0,0,0
358,259.18,2.0,1,0,10,95.0,1,4.32,0.62,18.085356193448124,9.972424472166685,0,1,1,0
359,445.92,2.0,0,1,7,90.0,1,4.46,0.33,19.700294015501758,12.62391810017793,0,0,0,0
360,445.92,2.0,0,1,10,97.0,1,4.55,0.44,19.224442342247876,12.740171970352767,0,0,0,0
